Card Name,Cost,Power,Ability,Variants,Series
"Untapped.gg Logo","","","","1",""
"MARVEL SNAP icon","","","","1",""
"Player collection level icon","","","","1",""
"Punisher","","","","1",""
"Colossus","","","","1",""
"Jessica Jones","","","","1",""
"Wolfsbane","","","","1",""
"Carnage","","","","1",""
"Killmonger","","","","1",""
"Venom","","","","1",""
"Wolverine","","","","1",""
"Death","","","","1",""
"Iron Man","","","","1",""
"Magik","","","","1",""
"Nico Minoru","","","","1",""
"Ant Man","","","","1",""
"Deathlok","","","","1",""
"Knull","","","","1",""
"Mystique","","","","1",""
"X-23","","","","1",""
"Blade","","","","1",""
"Deadpool","","","","1",""
"Shang-Chi","","","","1",""
"Blue Marvel","","","","1",""
"Armor","","","","1",""
"Odin","","","","1",""
"Arnim Zola","","","","1",""
"Mister Fantastic","","","","1",""
"Captain America","","","","1",""
"Sera","","","","1",""
"Spectrum","","","","1",""
"Lady Sif","","","","1",""
"Ka-Zar","","","","1",""
"Ironheart","","","","1",""
"Cosmo","","","","1",""
"Wong","","","","1",""
"Apocalypse","","","","1",""
"Morbius","","","","1",""
"Enchantress","","","","1",""
"Gambit","","","","1",""
"Luke Cage","","","","1",""
"Nightcrawler","","","","1",""
"The Hood","","","","1",""
"Absorbing Man","","","","1",""
"Onslaught","","","","1",""
"Bucky Barnes","","","","1",""
"Jubilee","","","","1",""
"Brood","","","","1",""
"M.O.D.O.K.","","","","1",""
"Quinjet","","","","1",""
"Shadow King","","","","1",""
"Klaw","","","","1",""
"Silver Surfer","","","","1",""
"Lizard","","","","1",""
"Rogue","","","","1",""
"The Infinaut","","","","1",""
"Nova","","","","1",""
"Iceman","","","","1",""
"Dracula","","","","1",""
"Medusa","","","","1",""
"Corvus Glaive","","","","1",""
"Hulkbuster","","","","1",""
"Legion","","","","1",""
"Swarm","","","","1",""
"Ultron","","","","1",""
"Colleen Wing","","","","1",""
"Hazmat","","","","1",""
"Electro","","","","1",""
"Sunspot","","","","1",""
"Ravonna Renslayer","","","","1",""
"Scorn","","","","1",""
"Psylocke","","","","1",""
"Namor","","","","1",""
"Mockingbird","","","","1",""
"Hawkeye","","","","1",""
"Sabretooth","","","","1",""
"White Tiger","","","","1",""
"Angela","","","","1",""
"The Collector","","","","1",""
"Misty Knight","","","","1",""
"Surge","","","","1",""
"Iron Patriot","","","","1",""
"Jeff the Baby Land Shark","","","","1",""
"Patriot","","","","1",""
"Mobius M. Mobius","","","","1",""
"Cyclops","","","","1",""
"Wave","","","","1",""
"Black Panther","","","","1",""
"Storm","","","","1",""
"Alioth","","","","1",""
"Scarlet Witch","","","","1",""
"Doctor Doom","","","","1",""
"Lockjaw","","","","1",""
"Hawkeye Kate Bishop","","","","1",""
"Dazzler","","","","1",""
"Mister Negative","","","","1",""
"Hulk","","","","1",""
"Victoria Hand","","","","1",""
"Kraven","","","","1",""
"Khonshu","","","","1",""
"Moira X","","","","1",""
"Forge","","","","1",""
"Mirage","","","","1",""
"Adam Warlock","","","","1",""
"Ebony Maw","","","","1",""
"Iron Lad","","","","1",""
"Vision","","","","1",""
"Bishop","","","","1",""
"Super-Skrull","","","","1",""
"The Living Tribunal","","","","1",""
"Jane Foster Mighty Thor","","","","1",""
"Cassandra Nova","","","","1",""
"Abomination","","","","1",""
"Scorpion","","","","1",""
"Shocker","","","","1",""
"Misery","","","","1",""
"Moon Girl","","","","1",""
"Sentinel","","","","1",""
"Taskmaster","","","","1",""
"She-Hulk","","","","1",""
"Sentry","","","","1",""
"Wasp","","","","1",""
"Silk","","","","1",""
"Quicksilver","","","","1",""
"Eson","","","","1",""
"Skaar","","","","1",""
"War Machine","","","","1",""
"Sam Wilson Captain America","","","","1",""
"Gorr the God Butcher","","","","1",""
"Sage","","","","1",""
"Wiccan","","","","1",""
"High Evolutionary","","","","1",""
"Juggernaut","","","","1",""
"Elektra","","","","1",""
"Frigga","","","","1",""
"Spider-Ham","","","","1",""
"Destroyer","","","","1",""
"Sebastian Shaw","","","","1",""
"Domino","","","","1",""
"Bast","","","","1",""
"Deafening Chord","","","","1",""
"Cerebro","","","","1",""
"The Thing","","","","1",""
"Valkyrie","","","","1",""
"Howard the Duck","","","","1",""
"Miek","","","","1",""
"Captain Carter","","","","1",""
"Mercury","","","","1",""
"Goose","","","","1",""
"Speed","","","","1",""
"Hydro-Man","","","","1",""
"Pixie","","","","1",""
"Goliath","","","","1",""
"Scream","","","","1",""
"Hit-Monkey","","","","1",""
"Esme Cuckoo","","","","1",""
"Rockslide","","","","1",""
"Ajax","","","","1",""
"Malekith","","","","1",""
"Havok","","","","1",""
"Agent Venom","","","","1",""
"Surtur","","","","1",""
"Fantasticar","","","","1",""
"Squirrel Girl","","","","1",""
"America Chavez","","","","1",""
"Merlin","","","","1",""
"Nebula","","","","1",""
"Cable","","","","1",""
"Arishem","","","","1",""
"Thanos","","","","1",""
"Hobgoblin","","","","1",""
"Nimrod","","","","1",""
"Zabu","","","","1",""
"Ghost Rider","","","","1",""
"Hela","","","","1",""
"Headpool","","","","1",""
"Galactus","","","","1",""
"Moon Knight","","","","1",""
"Black Cat","","","","1",""
"Ghost-Spider","","","","1",""
"Green Goblin","","","","1",""
"Red Guardian","","","","1",""
"Shuri","","","","1",""
"Miles Morales Spider-Man","","","","1",""
"Lady Deathstrike","","","","1",""
"Rocket Raccoon","","","","1",""
"Devil Dinosaur","","","","1",""
"Agent 13","","","","1",""
"Spider-Man","","","","1",""
"Magneto","","","","1",""
"Kitty Pryde","","","","1",""
"Gladiator","","","","1",""
"Heimdall","","","","1",""
"Symbiote Spider-Man","","","","1",""
"Grand Master","","","","1",""
"Giganto","","","","1",""
"Nick Fury","","","","1",""
"Star-Lord","","","","1",""
"Annihilus","","","","1",""
"White Queen","","","","1",""
"Galacta","","","","1",""
"Agent Coulson","","","","1",""
"Cannonball","","","","1",""
"Blob","","","","1",""
"Debrii","","","","1",""
"Prowler","","","","1",""
"Okoye","","","","1",""
"Werewolf By Night","","","","1",""
"The Hunger","","","","1",""
"Marvel Boy","","","","1",""
"Zombie Scarlet Witch","","","","1",""
"Daredevil","","","","1",""
"Korg","","","","1",""
"Cloak","","","","1",""
"Dormammu","","","","1",""
"Beast","","","","1",""
"Batroc the Leaper","","","","1",""
"Uncle Ben","","","","1",""
"Zombie Giant-Man","","","","1",""
"Kang","","","","1",""
"Mister Sinister","","","","1",""
"Daken","","","","1",""
"Negasonic Teenage Warhead","","","","1",""
"Polaris","","","","1",""
"Quake","","","","1",""
"Stegron","","","","1",""
